ID,cause,detail,nature,indication
1.1,Indéterminé,Indéterminé,Non identifiée,"déposer devant le centre, pas de découvreur, aucune info"
2.1,"Trouvé en un lieu, ou à un moment, ou dans un état inhabituel ","Trouvé en un lieu, ou à un moment, ou dans un état inhabituel ",Cause naturelle ou humaine,"( juvénile, bébé, hérisson en journée, oiseaux au sol, coincé dans un trou naturel, ...)"
3.1,"Autres activités humaines ( électrocution, maltraitance, …)  ","Autres activités humaines ( électrocution, maltraitance, …)  ",Activité humaine,"( électrocution, maltraitance, abandonné, piscine, empoisonnement,…)"
4.1,Destruction/Perturbation de l'habitat,"Feu, incendie",Activité humaine,
4.2,Destruction/Perturbation de l'habitat,"Abattage d'arbre, …",Activité humaine,
4.3,Destruction/Perturbation de l'habitat,Travaux ,Activité humaine,
4.4,Destruction/Perturbation de l'habitat,Activité agricole,Activité humaine,
5.1,Accident de jardinage ,"fourche , taille de haie, ...",Activité humaine,
5.2,Accident de jardinage ,"robot tondeuse, débroussailleuse",Activité humaine,
6.1,Pollution hydrocarbure (mazoutage ou huile…..),Pollution hydrocarbure (mazoutage ou huile…..),Activité humaine,(mazoutage ou huile…..) ou placer les autres pollutions et produits chimique?
7.1,Coincé - Enfermé,Cheminée,Activité humaine,
7.2,Coincé - Enfermé,Clôture/fil barbelé,Activité humaine,
7.3,Coincé - Enfermé,Autre,Activité humaine,
8.1,Collision,Collision vitre,Activité humaine,
8.2,Collision,Collision véhicule,Activité humaine,
8.3,Collision,"Collision autre ( avion, éolienne, train…)",Activité humaine,"( avion, éolienne, train…)"
9.1,"Chasse, Pêche",Tir,Activité humaine,
9.2,"Chasse, Pêche","Hameçons, fil de pêche",Activité humaine,
10.1,Piègeage anti-nuisible,"Piège à colle,",Activité humaine,
10.2,Piègeage anti-nuisible,"Piège physiques ( Nasse, clapet, collet, machoire..)",Activité humaine,
11.1,PREDATION - BAGARRE,Chat,Activité humaine,
11.2,PREDATION - BAGARRE,Chien,Activité humaine,
11.3,PREDATION - BAGARRE,Animal sauvage ,Cause naturelle,Blessures dues à un animal dans l'environnement inter ou intraspécifique
12.1,Circonstances climatiques  ,Circonstances climatiques  ,Cause naturelle,"Froid, chaud, vent, tempête,canicule…"
13.1,TRANSFERT,TRANSFERT,Non identifiée,Transfert d'un autre centre ou refuge
14.1,SAISIE,SAISIE,Cause naturelle ou humaine,Animal saisi par une autorité
